Date,3m8ox4pDb7,3m8ox4pDbC,3m8ox4pDbE,3m8ox4pUeB,3m8ox4pUeC,3m8ox4pUeF,3m8ox4plhC,3m8ox4plhE,3m8ox4plhH
2018-06-10,4.96,9.38,5.87,11.150000000000002,1.42,9.18,-7.17,1.4099999999999997,9.23
2018-06-16,4.83,9.84,6.19,11.58,0.23999999999999921,10.4,-8.010000000000002,1.1799999999999997,9.43
2018-06-22,5.27,9.89,6.050000000000001,11.530000000000001,0.6300000000000003,10.940000000000001,-8.270000000000001,1.2899999999999998,10.060000000000002
2018-06-28,5.140000000000001,9.830000000000002,5.82,11.499999999999998,0.9300000000000007,11.16,-8.610000000000001,1.4800000000000002,9.55
2018-07-04,4.970000000000001,10.24,6.140000000000001,11.790000000000001,0.7700000000000004,11.32,-8.02,1.8099999999999996,9.14
2018-07-10,3.6,10.459999999999999,5.930000000000001,12.03,-0.3900000000000001,11.389999999999999,-8.11,2.6500000000000004,10.030000000000001
2018-07-16,3.83,10.329999999999998,5.470000000000001,11.92,0.22999999999999993,11.23,-8.080000000000002,2.5,9.51
2018-07-22,3.9200000000000004,10.55,5.5600000000000005,12.060000000000002,0.1499999999999997,11.17,-7.71,2.44,9.23
2018-07-28,3.880000000000001,10.61,5.43,12.100000000000001,1.2399999999999998,11.12,-6.840000000000001,1.7299999999999998,9.15
2018-08-03,3.9000000000000004,10.47,5.620000000000001,11.77,1.92,11.04,-6.23,1.7400000000000004,8.879999999999999
2018-08-09,3.8800000000000003,10.719999999999999,5.9,11.64,1.5999999999999992,11.09,-7.1400000000000015,1.22,8.98
2018-08-15,4.140000000000001,10.190000000000001,5.34,11.290000000000001,2.9,10.370000000000003,-5.720000000000001,1.29,8.25
2018-08-21,3.25,10.390000000000002,5.62,11.450000000000001,3.6900000000000004,9.780000000000001,-5.680000000000001,1.4700000000000004,7.93
2018-08-27,3.25,9.620000000000001,5.020000000000001,10.73,3.82,8.81,-5.050000000000001,1.2200000000000002,7.26
2018-09-02,2.3899999999999997,8.31,4.169999999999999,8.86,2.9799999999999995,7.520000000000001,-4.93,0.7500000000000001,6.560000000000001
2018-09-08,4.11,7.8100000000000005,4.86,8.38,3.2000000000000006,6.8500000000000005,-4.760000000000001,0.5000000000000001,5.66
2018-09-14,3.8000000000000007,7.500000000000001,4.859999999999999,8.230000000000002,2.6800000000000006,6.51,-4.090000000000001,0.24999999999999986,4.970000000000001
2018-09-20,3.630000000000001,7.070000000000001,4.48,8.020000000000001,2.5200000000000005,6.17,-3.81,0.1499999999999998,4.95
2018-09-26,3.16,6.550000000000001,4.300000000000001,7.550000000000002,1.6400000000000006,5.400000000000001,-3.5100000000000002,0.6000000000000001,4.840000000000001
